P.Name	P.Mass	P.Radius	P.SMA	P.Period	P.Inc	P.Ecc	T0 [HJD]	S.Mass	S.Radius	S.Temp	SpecType	S.RA	S.Dec	St. Mag. V.	Mag. I	Mag. J	Mag. H	Mag. K	St. [Fe/H]	P.Omega
wasp33	4.59	1.438	0.02558	1.21986967	87.67	0	54163.22373	1.495	1.444	7400	A5	02 26 51	+37 33 02	8.3	20	7.581	7.516	7.468	0.1	
ogle2l9	4.34	1.614	0.0308	2.4855335	79.8	0	54492.79765	1.52	1.53	6933	F3	11 07 55	-61 08 46	20	13.97	13.25	13.51	13.12	-0.05	
corot3	21.66	1.01	0.057	4.2568	85.9	0	54283.1383	1.37	1.56	6740	F3V	19 28 13	+00 07 19	13.3	12.54	11.94	11.71	11.62	-0.02	
wasp17	0.49	1.74	0.051	3.7354417	87.8	0.129	54559.18102	1.2	1.38	6650	F4	15 59 51	-28 03 42	11.59	10.92	10.509	10.319	10.224	-0.19	-70
wasp14	7.725	1.259	0.037	2.2437704	84.79	0.0903	54063.93676	1.319	1.297	6475	F5V	14 33 06	+21 53 41	9.75	9.21	8.87	8.65	8.62	0	
wasp18	10.43	1.165	0.02047	0.9414518	86	0.0088	54221.48163	1.281	1.23	6400	F9	01 37 25	-45 40 40	9.3	20	8.409	8.231	8.131	0	
wasp3	2.06	1.454	0.0313	1.846837	85.06	0	54605.55915	1.24	1.31	6400	F7V	18 34 32	+35 39 42	10.64	10.03	9.6	9.41	9.36	0	0
wasp7	0.96	1.33	0.0617	4.9546416	87.03	0	55446.63493	1.276	1.432	6400	F5V	20 44 10	-39 13 31	9.51	20	8.648	8.414	8.396	0	0
hatp7	1.8	1.421	0.0379	2.2047298	84.1	0	53785.8503	1.47	1.84	6350		19 28 59	+47 58 10	10.5	9.91	9.55	9.34	9.33	0.26	
wasp12	1.41	1.9	0.0229	1.09142245	82.5	0.017	54508.9761	1.35	1.57	6300	G0	06 30 33	+29 40 20	11.69	11.03	10.23	10.48	10.19	0.3	
wasp15	0.542	1.428	0.0499	3.7520656	85.5	0	54584.69823	1.18	1.477	6300	F5	13 55 43	-32 09 35	10.9	20	9.956	9.713	9.693	-0.17	
kepler5	2.114	1.431	0.05064	3.54846	86.3	0	54955.90122	1.374	1.793	6297		19 57 38	+44 02 06	20	12.7	12.115	11.86	11.769	0.04	
hatp2	8.74	1.19	0.0674	5.6334729	86.72	0.5171	54387.49375	1.36	1.64	6290	F8	16 20 36	+41 02 53	8.71	20	7.8	7.65	7.6	0.14	
kepler8	0.603	1.419	0.0483	3.52254	84.07	0	54954.1182	1.213	1.486	6213		18 45 09	+42 27 04	13.9	13.3	12.576	12.324	12.293	-0.055	
ogle132	1.17	1.23	0.0306	1.689868	83.4	0	53142.5912	1.26	1.34	6210	F	10 50 34	-61 57 25	20	15.72	15.25	14.86	14.99	0.37	0
hatp8	1.52	1.5	0.0487	3.07632	87.8	0	54437.67582	1.28	1.58	6200	G	22 52 10	+35 26 50	10.17	20	9.214	9.004	8.953	0.01	0
tres4	0.877	1.81	0.05091	3.553945	82.86	0	54230.91	1.384	1.81	6200	F	17 53 13	+37 12 42	11.592	11.21	10.58	10.35	10.33	0.14	
wasp31	0.478	1.537	0.04657	3.405909	84.54	0	55189.2828	1.16	1.24	6200	F	11 17 45	-19 03 17	11.7	20	10.912	10.709	10.65	-0.19	0
ogle56	1.3	1.2	0.0225	1.211909	78.8	0	53936.598	1.17	1.32	6119	G	17 56 35	-29 32 21	16.6	15.3	20	20	20	1	
wasp1	0.86	1.484	0.0382	2.51997	83.9	0	53151.486	1.24	1.382	6110	F7V	00 20 40	+31 59 24	11.79	10.74	10.59	10.36	10.28	1	
wasp28	0.91	1.12	0.0455	3.408821	89.1	0.046	55116.5573	1.08	1.05	6100	F8-G0	23 34 28	-01 34 48	12	11.47	11.078	10.762	10.732	-0.29	
wasp32	3.6	1.18	0.0394	2.71865	85.3	0.018	55151.054	1.1	1.11	6100	G	00 15 51	+01 12 02	11.3	20	10.503	10.248	10.161	-0.13	160
corot6	2.96	1.166	0.0855	8.886593	89.07	0.1	54702.2556	1.055	1.025	6090	F9V	18 44 18	+06 39 48	13.9	20	20	20	20	-0.2	
ogle10	0.68	1.72	0.04162	3.10129	84.5	0	53890.678	1.18	1.16	6075	G or K	17 51 28	-29 52 34	15.78	14.92	20	20	20	0.28	0
corot14	7.6	1.09	0.027	1.51214	79.6	0	54787.6694	1.13	1.21	6035	F9V	06 53 42	-05 32 10	16.03	14.91	14.32	14.01	13.81	0.05	0
hatp1	0.524	1.217	0.05535	4.4652934	86.28	0.067	54363.94656	1.133	1.115	5975	GOV	22 57 47	+38 40 30	10.4	20	9.555	9.344	9.334	0.13	
corot1	1.07	1.45	0.0259	1.5089686	85.66	0	54524.62324	1.01	1.057	5950	G0V	06 48 19	-03 06 08	13.6	13.2	12.46	12.22	12.15	-0.3	
kepler7	0.433	1.478	0.06224	4.885525	86.5	0	54967.27571	1.347	1.843	5933		19 14 20	+41 05 23	20	12.7	11.833	11.601	11.535	0.11	
hatp23	2.09	1.368	0.0232	1.212884	85.1	0.106	54852.26464	1.13	1.203	5905	G5	20 24 30	+16 45 44	11.94	20	11.103	10.846	10.791	0.15	118
wasp5	1.637	1.171	0.02729	1.6284246	85.8	0	54375.62494	1.021	1.084	5880	G4V	23 57 24	-41 16 38	12.26	11.44	10.95	10.65	10.6	0	
kepler4	0.077	0.357	0.0456	3.21346	89.76	0	54956.6127	1.223	1.487	5857	G0	19 02 28	+50 08 09	12.7	12.3	11.122	10.84	10.805	0.17	
tres2	1.253	1.261	0.03556	2.470614	83.62	0	53957.63492	0.98	1	5850	G0V	19 07 14	+49 18 59	11.41	20	10.23	9.92	9.85	-0.15	
xo1	0.9	1.184	0.0488	3.9415128	89.31	0	53808.91682	1	0.928	5750	G1V	16 02 12	+28 10 11	11.3	20	9.94	9.6	9.53	1	
kepler9	0.252	0.842	0.14	19.243158	88.55	0	55073.43381	1	1.1	5722		19 02 18	+38 24 03	13.9	14.278	12.71	12.391	12.337	0.17	
kepler9c	0.171	0.823	0.225	38.90861	88.12	0	55164.18301	1	1.1	5722		19 02 18	+38 24 03	13.9	14.278	12.71	12.391	12.337	0.17	
kepler9d	0.022	0.147	0.0273	1.592851			55015.094	1	1.1	5722		19 02 18	+38 24 03	13.9	14.278	12.71	12.391	12.337	0.17	
tres3	1.91	1.305	0.0226	1.30619	82.15	0	54185.9101	0.924	0.813	5720	G	17 52 07	+37 32 46	12.4	11.68	11.02	10.66	10.61	-0.19	
kepler6	0.669	1.323	0.04567	3.23423	86.8	0	54954.48636	1.209	1.391	5647		19 47 21	+48 14 24	20	12.5	12.001	11.706	11.634	0.34	
kepler10	0.0143	0.127	0.01684	0.837495	84.4	0	54964.57375	0.895	1.056	5627	G	19 02 43	+50 14 29	10.96	10.778	9.889	9.563	9.496	-0.15	
corot2	3.31	1.465	0.0281	1.7429964	87.84	0.003	54237.53562	0.97	0.902	5625	G7V	19 27 07	+01 23 02	12.57	11.32	10.78	10.44	10.31	0	
wasp19	1.168	1.386	0.01655	0.78884	79.4	0.0046	54775.3372	0.97	0.99	5500	G8V	09 53 40	-45 39 33	12.3	11.35	10.911	10.602	10.481	0.02	3
wasp4	1.1215	1.416	0.023	1.3382282	89.35	0	54365.91464	0.9	1.15	5500	G7V	23 34 15	-42 03 41	12.6	11.86	11.18	10.84	10.75	-0.03	
wasp41	0.92	1.21	0.04	3.052394	87.3	0	55343.462	0.95	1.01	5450	G8V	12 42 28	-30 38 24	11.6	10.78	10.096	9.752	9.677	-0.08	0
wasp6	0.503	1.224	0.0421	3.361006	88.47	0.054	54596.4903	0.888	0.87	5450	G8	23 12 38	-22 40 26	12.4	11.9	10.769	10.445	10.325	-0.2	
xo2	0.57	0.973	0.0369	2.615838	88.58	0	54147.74902	0.98	0.964	5340	K0V	07 48 07	+50 13 33	11.18	20	9.74	9.34	9.31	0.45	
corot7	0.0151	0.15	0.0172	0.853585	80.1	0	54398.0767	0.93	0.87	5275	K0V	06 43 49	-01 03 46	11.7	10.87	10.301	9.88	9.806	0.03	
corot7c	0.0264		0.046	3.698		0		0.93	0.87	5275	K0V	06 43 49	-01 03 46	11.7	10.87	10.301	9.88	9.806	0.03	
wasp2	0.847	1.043	0.03138	2.152226	84.8	0	53991.5146	0.84	0.834	5200	K1V	20 30 54	+06 25 46	11.98	20	10.17	9.75	9.63	1	
hd189733	1.15	1.151	0.03142	2.2185733	85.76	0	53988.80336	0.8	0.788	4980	K1-K2	20 00 43	+22 42 39	7.67	20	6.07	5.59	5.54	-0.03	
qatar1	1.09	1.164	0.02343	1.420033	83.47	0	55518.4102	0.85	0.823	4861	K	20 13 32	+65 09 43	12.84	11.71	10.999	10.527	10409	0.2	0
ogle113	1.24	1.11	0.0229	1.4324772	89.4	0	53471.7782	0.78	0.77	4804	K	10 52 24	-61 26 48	20	14.42	20	20	20	0.14	
hatp11	0.081	0.452	0.053	4.887804	88.5	0.198	54605.89132	0.81	0.75	4780	K4	19 50 50	+48 04 51	9.59	8.2	7.61	7.13	7.01	0.31	
hatp12	0.211	0.959	0.0384	3.2130598		0	54419.19556	0.73	0.7	4650		13 57 34	+43 29 37	12.84	12.149	10.794	10.236	10.108	-0.29	
hatp20	7.246	0.867	0.0361	2.875317	86.8	0.015	55080.92661	0.756	0.694	4595	K7	07 27 40	+24 20 11	11.34	20	9.276	8.743	8.601	0.35	317
gj436	0.0737	0.365	0.02887	2.6438986	85.8	0.15	54222.61588	0.452	0.464	3684	M2.5	11 42 11	+26 42 23	10.68	8.24	6.9	6.32	6.07	-0.32	
gj1214	0.0179	0.2415	0.014	1.5803925	88.62	0.27	54999.7127	0.157	0.211	3026		17 15 19	+04 57 50	14.67	11.1	9.75	9.09	8.78	0	
